[14:51:01.848] [RX] ← INFO:MSG=INA260 ready. Idle baseline: 41.0 mA, Bus voltage: 12.05 V
[14:56:13.205] [RX] ← POWER:V=12.04,A=0.040
[14:56:14.211] [RX] ← POWER:V=12.04,A=0.040
[14:56:15.224] [RX] ← POWER:V=12.04,A=0.040
[14:56:16.225] [RX] ← POWER:V=12.04,A=0.040
[14:56:17.235] [RX] ← POWER:V=12.04,A=0.040
[14:56:18.236] [RX] ← POWER:V=12.04,A=0.040
[14:56:19.249] [RX] ← POWER:V=12.04,A=0.040
[14:56:20.248] [RX] ← POWER:V=12.04,A=0.040
[14:56:21.257] [RX] ← POWER:V=12.04,A=0.040
[14:56:22.260] [RX] ← POWER:V=12.04,A=0.040
[14:56:23.265] [RX] ← POWER:V=12.04,A=0.040
[14:56:24.275] [RX] ← POWER:V=12.04,A=0.040
[14:56:25.279] [RX] ← POWER:V=12.04,A=0.040
[14:56:26.286] [RX] ← POWER:V=12.04,A=0.040
[14:56:27.293] [RX] ← POWER:V=12.04,A=0.039
[14:56:28.299] [RX] ← POWER:V=12.04,A=0.040
[14:56:29.304] [RX] ← POWER:V=12.04,A=0.039
[14:56:30.312] [RX] ← POWER:V=12.04,A=0.040
[14:56:31.313] [RX] ← POWER:V=12.04,A=0.040
[14:56:32.320] [RX] ← POWER:V=12.04,A=0.040
[14:56:33.329] [RX] ← POWER:V=12.04,A=0.040
[14:56:34.330] [RX] ← POWER:V=12.04,A=0.040
[14:56:35.343] [RX] ← POWER:V=12.04,A=0.040
[14:56:36.346] [RX] ← POWER:V=12.04,A=0.040
[14:56:37.351] [RX] ← POWER:V=12.04,A=0.040
[14:56:38.352] [RX] ← POWER:V=12.04,A=0.040
[14:56:39.365] [RX] ← POWER:V=12.04,A=0.040
[14:56:40.364] [RX] ← POWER:V=12.04,A=0.040
[14:56:41.376] [RX] ← POWER:V=12.04,A=0.040
[14:56:42.375] [RX] ← POWER:V=12.04,A=0.040
[14:56:43.384] [RX] ← POWER:V=12.04,A=0.040
[14:56:44.391] [RX] ← POWER:V=12.04,A=0.040
[14:56:45.396] [RX] ← POWER:V=12.04,A=0.040
[14:56:46.401] [RX] ← POWER:V=12.04,A=0.040
[14:56:47.402] [RX] ← POWER:V=12.04,A=0.040
[14:56:48.411] [RX] ← POWER:V=12.04,A=0.039
[14:56:49.424] [RX] ← POWER:V=12.04,A=0.040
[14:56:50.426] [RX] ← POWER:V=12.04,A=0.040
[14:56:51.426] [RX] ← POWER:V=12.04,A=0.040
[14:56:52.440] [RX] ← POWER:V=12.04,A=0.039
[14:56:53.442] [RX] ← POWER:V=12.0�,A=0�039
[14:56:54.444] [RX] ← POWER:V=12.04,A=0.040
[14:56:55.453] [RX] ← POWER:V=12.04,A=0.040
[14:56:56.453] [RX] ← POWER:V=12.04,A=0.039
[14:56:57.459] [RX] ← POWER:V=12.04,A=0.040
[14:56:58.468] [RX] ← POWER:V=12.04,A=0.040
[14:56:59.471] [RX] ← POWER:V=12.04,A=0.040
[14:57:00.480] [RX] ← POWER:V=12.04,A=0.040
[14:57:01.483] [RX] ← POWER:V=12.04,A=0.040
[14:57:02.493] [RX] ← POWER:V=12.04,A=0.040
